id,name,relationship,relative,relativename
Q11099334,Woody Tyzz-Jiun Duh,sibling,Q60991997,Tu Tze-chen
Q14866531,Luo Ying-shay,father,Q15936472,羅錫疇
Q15025,Audrey Tang,mother,Q9210881,Lee Ya-ching
Q15909081,Wellington Koo,spouse,Q15918515,Wang Mei-hua
Q15918515,Wang Mei-hua,spouse,Q15909081,Wellington Koo
Q15920021,Chiang Wan-an,father,Q5371883,Chiang Hsiao-yen
Q15920021,Chiang Wan-an,relative,Q16574,Chiang Kai-shek
Q15920021,Chiang Wan-an,sibling,Q15915513,Vivian Chang
Q15930216,Chen Yi-chieh,father,Q47668356,Zheng-Zhong Chen
Q16260539,Lai Pin-yu,father,Q8349619,Lai Chin-lin
Q16926490,Ho Chih-wei,mother,Q8348951,Hsueh Ling
Q16928868,Lu Sun-ling,father,Q16336627,Lu Tzu-chang
Q16928868,Lu Sun-ling,sibling,Q60989322,Lu Sun-fu
Q19216,Ma Ying-jeou,child,Q4121050,Lesley Wei-chung Ma
Q19216,Ma Ying-jeou,child,Q4121052,Kelly Yuan-chung Ma
Q19216,Ma Ying-jeou,father,Q4121049,Ma Ho-ling
Q19216,Ma Ying-jeou,mother,Q16743739,Chin Hou-hsiu
Q19216,Ma Ying-jeou,sibling,Q15903627,Ma Yi-nan
Q19216,Ma Ying-jeou,sibling,Q16926393,Ma Nai-si
Q19216,Ma Ying-jeou,sibling,Q16926396,Ma Li-chun
Q19216,Ma Ying-jeou,sibling,Q17004729,Theresa Chao
Q19216,Ma Ying-jeou,spouse,Q4121057,Christine Chow Ma
Q19825781,Su Chiao-hui,father,Q551904,Su Tseng-chang
Q19825781,Su Chiao-hui,spouse,Q8984578,Lungnan Isak Fangas
Q19849402,Hung Tzu-yung,sibling,Q13884389,Hung Chung-chiu
Q19849402,Hung Tzu-yung,spouse,Q21449350,Tim Zhuo
Q20063502,Lee Yen-hsiu,spouse,Q8970090,Ho Kuan-chun
Q20687755,Chen Chien-nien,child,Q7198343,Chen Ying
Q20687755,Chen Chien-nien,father,Q17034561,陳耕元
Q22368,Chen Shui-bian,child,Q6311201,Chen Chih-chung
Q22368,Chen Shui-bian,child,Q6311263,Chen Hsing-yu
Q22368,Chen Shui-bian,mother,Q104837480,Li Shen
Q22368,Chen Shui-bian,sibling,Q15934564,Chen Wen-shou
Q22368,Chen Shui-bian,spouse,Q698512,Wu Shu-chen
Q233984,Tsai Ing-wen,father,Q15930130,Tsai Chieh-sheng
Q233984,Tsai Ing-wen,sibling,Q24833232,Tsai Ying-yang
Q28416376,Ko Chih-en,father,Q39040656,Ko Wen-fu
Q28417359,Hung Mong-kai,father,Q28416577,Hong Xiyao
Q28417359,Hung Mong-kai,mother,Q8976805,Guo Suchun
Q28418899,Hsu Chen-wei,spouse,Q8956378,Fu Kun-chi
Q28418899,Hsu Chen-wei,spouse,Q8956378,Fu Kun-chi
Q284597,Jason Hu,child,Q7808109,Ting-Ting Hu
Q284597,Jason Hu,spouse,Q8276119,Shao Xiaoling
Q315528,Lee Teng-hui,child,Q8981918,Annie Lee
Q315528,Lee Teng-hui,father,Q14606858,Lee Ching-long (died 1995)
Q315528,Lee Teng-hui,sibling,Q14606946,Lee Teng-ching
Q315528,Lee Teng-hui,spouse,Q8264155,Tseng Wen-hui
Q3846662,Kuan Bi-ling,spouse,Q10526293,Hsu Yang-ming
