@@,item,itemlabel,startdate,enddate
+++,Q8965733,Fan Kuang-chun,2001-06-14,2002-01-31
+++,Q6148708,Yeh Chu-lan,2002-02-01,2004-05-19
+++,Q6704543,Luo Wen-jia,2004-05-20,2005-03-14
->,Q9206928,Lee Yung-te,2005-03-15,2008-05-19->2005-06-19
+++,Q9206928,Lee Yung-te,2005-06-20,2008-05-19
---,Q17466399,Liu Ching-chung,2014-07-01,2014-07-29
+++,Q17466399,Liu Ching-chung,2014-07-08,2014-08-04
+++,Q16239501,Chung Wan-mei,2016-02-01,2016-05-19
