item,itemLabel,startDate,endDate,sourceDate,psid
Q8270335,Lin Fong-cheng,1998-04-01,2000-03-27,2022-12-06,Q8270335-BBE4AFB4-CCEF-47EB-9A4A-F47765EF60F2
Q10565446,George Chen,2000-03-27,2000-05-20,2022-12-06,Q10565446-6E71826D-B843-4F1B-AA05-53D68013955F
Q6148708,Yeh Chu-lan,2000-05-20,2002-02-01,2022-12-06,Q6148708-E6755044-DF86-4DF3-A5D6-25AD0B04F827
Q4712240,Lin Ling-san,2002-02-01,2006-01-25,2022-12-06,Q4712240-7A7F14EA-28C5-4AFC-84D4-20D338CF56C5
Q6445227,Kuo Yao-chi,2006-01-25,2006-08-22,2022-12-06,Q6445227-AEC766D4-5940-470A-983F-66508DD30863
Q7849310,Tsai Duei,2006-08-22,2008-05-20,2022-12-06,Q7849310-8257A77E-E66A-4F77-B0A8-59C49574AC5E
Q6753581,Mao Chi-kuo,2008-05-20,2013-02-18,2022-12-06,Q6753581-A55B8227-DFB0-475E-9696-EE9622A67CE7
Q6449461,Yeh Kuang-shih,2013-02-18,2015-01-13,2022-12-06,Q6449461-F9892474-A35F-4A8D-AA07-42C5F05947F6
Q16239466,Chen Jian-yu,2015-01-13,2015-01-24,2022-12-06,Q16239466-70163254-F690-4386-B5C5-28C7E5966877
Q16239466,Chen Jian-yu,2015-01-24,2016-05-20,2022-12-06,Q16239466-0CDDD1EA-8160-44D9-9614-27376872481D
Q8971199,Hochen Tan,2016-05-20,2018-07-16,2022-12-06,Q8971199-B2C7D75F-70DC-45FB-9A0D-1669418934D1
Q23883800,Wu Hong-mo,2018-07-16,2018-12-01,,Q23883800-A2B33516-B134-494A-B150-FA33B5422D20
Q24851744,Wang Kwo-tsai,2018-12-04,2019-01-13,,Q24851744-D9FCC8EB-7309-4938-9BD1-0B286C46B20F
Q6550004,Lin Chia-lung,2019-01-14,2021-04-19,,Q6550004-554923F8-F2FC-4E2F-89B8-16AF94D2DC0B
Q24851744,Wang Kwo-tsai,2021-04-20,,,Q24851744-F5ACC0C3-9987-4094-8125-610852411FB3
