pageid,title,wikidata,label
333404,Su Tseng-chang,Q551904,Su Tseng-chang
349072,You Si-kun,Q707887,Yu Shyi-kun
1607714,Joseph Wu,Q6288088,Joseph Wu
4087894,Tsai Ing-wen,Q233984,Tsai Ing-wen
22609914,Lai Ching-te,Q3847080,Lai Ching-te
42056304,Wei Kuo-yen,Q15831062,Wei Kuo-yen
42096941,Shen Jong-chin,Q16150359,Shen Jong-chin
49294603,Tsai Chi-chang,Q8350279,Tsai Chi-chang
50838761,Wang Kwo-tsai,Q24851744,Wang Kwo-tsai
52375627,Chiu Kuo-cheng,Q19825815,Chiu Kuo-cheng
55167496,Li Meng-yen,Q38876935,Lee Meng-yen
57895868,Tsai Ching-hsiang,Q55505798,Tsai Ching-hsiang
