item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q10294207,Chang San-cheng,NormalRank,Q56283112,Taipei,true,true,true,false,false,false,true
Q10413949,Q10413949,,,,,,false,,,,
Q104723309,Hua Jingqun,,,,,,false,,,,
Q10513434,Tung Hsiang-lung,NormalRank,Q249995,Chiayi City,true,true,true,false,false,true,true
Q10564184,Q10564184,,,,,,false,,,,
Q10565446,George Chen,,,,,,false,,,,
Q10900397,Liu Yu-you,,,,,,false,,,,
Q10918847,Wu Se-hwa,NormalRank,Q473035,Beigang,true,true,true,false,false,false,true
Q10919115,Q10919115,,,,,,false,,,,
Q10919955,Joseph Lyu,,,,,,false,,,,
Q10919979,Lu Yu-ling,NormalRank,Q25303104,Taoyuan County,true,true,true,false,false,false,true
Q10920153,Chou Ni-an,,,,,,false,,,,
Q11068492,Masa Chang,,,,,,false,,,,
Q11070836,Shyu Jyuo-min,,,,,,false,,,,
Q11091487,Tseng Chu-wei,,,,,,false,,,,
Q11094304,Wuxian Zhu,,,,,,false,,,,
Q11096596,Q11096596,,,,,,false,,,,
Q11098108,Lee Sush-der,NormalRank,Q1867,Taipei,true,true,true,false,false,false,true
Q11099334,Woody Tyzz-Jiun Duh,NormalRank,Q956,Beijing,true,true,true,false,false,false,true
Q11106169,Q11106169,,,,,,false,,,,
Q11106819,Lin Yi-fu,NormalRank,Q1867,Taipei,true,true,true,false,false,true,true
Q11115397,Marr Chang-chi,,,,,,false,,,,
Q11118258,Andrew Yang,NormalRank,Q1867,Taipei,true,true,true,false,false,true,true
Q11176497,Jong-Tsun Huang,NormalRank,Q718433,Tianzhong County,true,true,true,false,false,true,true
Q113071836,Chen Wan-hui,NormalRank,Q15895448,Tainan City,true,true,true,false,false,false,true
Q114895959,May Lee,,,,,,false,,,,
Q115299064,Wang Hsiu-hong,,,,,,false,,,,
Q115398709,Yohani Isqaqavut,,,,,,false,,,,
Q115467711,Chang Che-chen,,,,,,false,,,,
Q115467712,Chang Chun-yen,,,,,,false,,,,
Q115490125,Su Shian-jang,,,,,,false,,,,
Q115685719,Chen Chao-chien,,,,,,false,,,,
Q11963553,Yang Chin-long,NormalRank,Q865,Taiwan,true,false,true,false,false,false,true
Q13408438,Chen Ming-tong,NormalRank,Q701682,Taichung County,true,true,true,false,false,false,true
Q13408439,Shea Jia-dong,NormalRank,Q477601,Tainan County,true,true,true,false,false,false,true
Q13631978,Chen Bao-ji,NormalRank,Q708790,Chaozhou,true,true,true,false,false,false,true
Q14516312,Kao Kuang-chi,NormalRank,Q865,Taiwan,true,false,true,false,false,true,true
Q14866531,Luo Ying-shay,NormalRank,Q249868,Hualien County,true,true,true,false,false,false,true
Q15205373,Lin Chiang-yi,NormalRank,Q865,Taiwan,true,false,true,false,false,true,true
Q15704593,Jaclyn Tsai,NormalRank,Q865,Taiwan,true,false,true,false,false,false,true
Q15831062,Wei Kuo-yen,NormalRank,Q865,Taiwan,true,false,true,false,false,false,true
Q15895660,Jang Show-ling,NormalRank,Q1867,Taipei,true,true,true,false,false,true,true
Q15899237,Huang Kuo-chang,PreferredRank,Q570601,Xizhi District,true,true,false,,,,
Q15901599,Lee Shying-jow,NormalRank,Q707728,Donggang Township,true,true,true,false,false,false,true
Q15901623,Frida Tsai,NormalRank,Q708696,Yuchi Township,true,true,true,false,false,false,true
Q15902678,Shen Lyu-shun,NormalRank,Q1867,Taipei,true,true,true,false,false,false,true
Q15903055,Hwung Hwung-hweng,,,,,,false,,,,
Q15903800,Q15903800,,,,,,false,,,,
Q15904974,Joanna Lei,NormalRank,Q1867,Taipei,true,true,true,false,false,true,true
Q15905278,Lin I-chin,NormalRank,Q140631,Tainan,true,true,false,,,,
Q15908898,Nelson Ku,NormalRank,Q8686,Shanghai,true,true,false,,,,
Q15909081,Wellington Koo,NormalRank,Q249996,Keelung,true,true,true,false,false,false,true
Q15911945,Yeh Chin-ling,NormalRank,Q181557,Kaohsiung,true,true,true,false,false,false,true
Q15912229,Chu Kun-liang,NormalRank,Q701639,Su'ao,true,true,true,false,false,true,true
Q15914057,Q15914057,,,,,,false,,,,
Q15914789,Yen Teh-fa,NormalRank,Q181557,Kaohsiung,true,true,false,,,,
Q15915252,Chen Liang-gee,NormalRank,Q706707,Baozhong,true,true,true,false,false,true,true
Q15918515,Wang Mei-hua,NormalRank,Q865,Taiwan,true,false,true,false,false,false,true
Q15920021,Chiang Wan-an,NormalRank,Q1867,Taipei,true,true,true,false,false,true,true
Q15930216,Chen Yi-chieh,NormalRank,Q1867,Taipei,true,true,false,,,,
Q15931826,Q15931826,,,,,,false,,,,
Q15932070,Q15932070,,,,,,false,,,,
Q15933742,Su Ching-chuan,NormalRank,Q707728,Donggang Township,true,true,true,false,false,true,true
Q15934391,Q15934391,,,,,,false,,,,
Q15934411,Hsieh Chun-hui,,,,,,false,,,,
Q16122971,Lin Tzou-yien,NormalRank,Q865,Taiwan,true,false,true,false,false,false,true
Q16143196,Chang Tzi-chin,,,,,,false,,,,
Q16150359,Shen Jong-chin,NormalRank,Q477601,Tainan County,true,true,true,false,false,false,true
Q16187076,Huang Fu-yuan,,,,,,false,,,,
Q16193101,Hao Feng-ming,,,,,,false,,,,
Q16193401,Tseng Ming-chung,NormalRank,Q166977,Chiayi County,true,true,true,false,false,false,true
Q16196866,Chen Ming-jen,,,,,,false,,,,
Q16239464,Chen Chih-ching,NormalRank,Q82357,Nantou County,true,true,true,false,false,false,true
Q16239466,Chen Jian-yu,,,,,,false,,,,
Q16239471,Chen Der-hwa,,,,,,false,,,,
Q16239478,Chen Shu-hui,,,,,,false,,,,
Q16239498,Lin Chu-chia,NormalRank,Q115256,Taoyuan,true,true,true,false,false,false,true
Q16239501,Chung Wan-mei,NormalRank,Q63706,Miaoli County,true,true,false,,,,
Q16239639,Hung Meng-chi,,,,,,false,,,,
Q16239701,Kuo Fang-yu,NormalRank,Q865,Taiwan,true,false,true,false,false,true,true
Q16239747,Lin Chin-tien,,,,,,false,,,,
Q16239751,Lin Tzu-ling,,,,,,false,,,,
Q16239783,Liu I-chou,,,,,,false,,,,
Q16239906,Sheu Yu-jer,,,,,,false,,,,
Q16239908,Jay N. Shih,,,,,,false,,,,
Q16239952,Tung Kuo-yu,,,,,,false,,,,
Q16240050,Chou Yuan-chin,,,,,,false,,,,
Q16241144,Chen Ming-tang,,,,,,false,,,,
Q16241509,Chiang Been-huang,,,,,,false,,,,
Q16242317,Teng Tsu-lin,,,,,,false,,,,
Q16260492,Chen Min-jen,,,,,,false,,,,
Q16260539,Lai Pin-yu,NormalRank,Q1867,Taipei,true,true,false,,,,
Q16336308,Ko Cheng-fang,NormalRank,Q714614,Shenkang Township,true,true,false,,,,
Q16905422,Li Gui-min,,,,,,false,,,,
Q16905500,Lin Yuanyuan,,,,,,false,,,,
Q16907985,Chen I-hsin,NormalRank,Q153221,Yunlin County,true,true,true,false,false,false,true
Q16926490,Ho Chih-wei,,,,,,false,,,,
Q16926907,Lai Cheng-chang,,,,,,false,,,,
Q16928868,Lu Sun-ling,NormalRank,Q24287568,Taipei County,true,true,false,,,,
Q17027222,Sra Kacaw,NormalRank,Q249868,Hualien County,true,true,true,false,false,true,true
Q17035305,Tsai Chung-han,,,,,,false,,,,
Q17059823,Su Chia-fu,,,,,,false,,,,
Q17066681,Q17066681,,,,,,false,,,,
Q17466399,Liu Ching-chung,NormalRank,Q194989,Pingtung County,true,true,true,false,false,false,true
Q18044631,Liu Chih-kung,NormalRank,Q865,Taiwan,true,false,true,false,false,false,true
Q18109591,Q18109591,NormalRank,Q15897444,Taichung,true,true,true,false,false,true,true
Q18109691,Q18109691,,,,,,false,,,,
Q18113714,Ko Wen-je,NormalRank,Q249994,Hsinchu,true,true,false,,,,
Q18415702,Wu Kuen-yuh,NormalRank,Q166977,Chiayi County,true,true,false,,,,
Q18415739,Chen Hsiung-wen,NormalRank,Q140631,Tainan,true,true,false,,,,
Q18654076,Q18654076,,,,,,false,,,,
Q18658400,Chiang Chieh-an,NormalRank,Q63706,Miaoli County,true,true,true,false,false,true,true
Q18659220,Hsu Shu-hua,NormalRank,Q715171,Nantou City,true,true,true,false,false,true,true
Q18659469,Q18659469,NormalRank,Q63706,Miaoli County,true,true,true,false,false,false,true
Q19058548,Huang Kuo-shu,NormalRank,Q82357,Nantou County,true,true,true,false,false,true,true
Q1911971,Wu Maw-kuen,NormalRank,Q249868,Hualien County,true,true,true,false,false,false,true
Q19653988,Chen Su-yueh,NormalRank,Q82357,Nantou County,true,true,true,false,false,false,true
