position,title
Q15932850,Spouse of the President
Q10876443,Secretary-General to the President
Q25054244,Vice President of the Legislative Yuan
Q16056439,Chairperson of the Kuomintang
Q10781865,Vice Chairperson of the Kuomintang
Q15909024,President of the Control Yuan
Q115912400,ambassador to Australia
Q40338126,ambassador to Canada
Q115912098,ambassador to the Czech Republic
Q115912454,ambassador to Indonesia
Q110638369,ambassador to Japan
Q115912092,ambassador to Mongolia
Q109350932,ambassador to Nicaragua
Q110714329,ambassador to the Russian Federation
Q110638654,ambassador to Spain
Q115912464,ambassador to Thailand
Q115911928,ambassador to the United Kingdom
Q9384607,ambassador to the United States of America
Q10876487,ambassador to the Holy See
Q115912324,ambassador to the European Union
Q11812506,Mayor of Kaohsiung
Q6797771,Mayor of New Taipei
Q6797822,Mayor of Taichung
Q6797825,Mayor of Tainan
Q6310674,Mayor of Taipei
Q50306671,Mayor of Taoyuan
