who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
52375627,,,,,,,,,0
52375627,Ministry of National Defense (Republic of China),34th Minister of National Defense,2021-02-23,,Q15914789,Yen Teh-fa,,,1
52375627,National Security Bureau (Taiwan),18th Director-General of the National Security Bureau,2019-07-24,2021-02-22,Peng Sheng-chu,Peng Sheng-chu Ko Cheng-heng (acting),Chen Ming-tong,Chen Ming-tong,2
52375627,Veterans Affairs Council,3rd Minister of the Veterans Affairs Council,2018-02-26,2019-07-23,Lee Shying-jow,Lee Shying-jow,Q8357143,Lee Wen-chung (acting) Feng Shih-kuan,3
52375627,Veterans Affairs Council,3rd Minister of the Veterans Affairs Council,2018-02-26,2019-07-23,Lee Shying-jow,Lee Shying-jow,Q23894469,Lee Wen-chung (acting) Feng Shih-kuan,4
52375627,Chief of the General Staff (Republic of China),25th Chief of the General Staff of the Republic of China Armed Forces,2016-12-01,2017-04-30,Q15914789,Yen Teh-fa,Lee Hsi-ming,Lee Hsi-ming,5
52375627,Republic of China Armed Forces,25th Chief of the General Staff of the Republic of China Armed Forces,2016-12-01,2017-04-30,Q15914789,Yen Teh-fa,Lee Hsi-ming,Lee Hsi-ming,6
52375627,Republic of China Army,6th Commander of the Republic of China Army,2015-01-30,2016-11-30,Q15914789,Yen Teh-fa,Wang Shin-lung,Wang Shin-lung,7
52375627,Ministry of National Defense (Republic of China),9th Deputy Minister of National Defense for Armaments,2014-08-01,2015-01-29,Lee Shying-jow,Lee Shying-jow,Liu Chen-wu,Liu Chen-wu,8
