who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
67259866,,,,,,,,,0
67259866,Taipei Representative Office in the U.K.,ROC Representative to the United Kingdom,2020-07,,Q5236615,David Lin,,,1
67259866,United Kingdom,ROC Representative to the United Kingdom,2020-07,,Q5236615,David Lin,,,2
67259866,Ministry of Foreign Affairs (Taiwan),Deputy Minister of Foreign Affairs of the Republic of China,2018-04,2020-07,,,Tseng Hou-jen,Tseng Hou-jen,3
67259866,Republic of China,Deputy Minister of Foreign Affairs of the Republic of China,2018-04,2020-07,,,Tseng Hou-jen,Tseng Hou-jen,4
67259866,Taipei Economic and Cultural Representative Office,ROC Representative to Russia,2017,2018,,,,,5
67259866,Russia,ROC Representative to Russia,2017,2018,,,,,6
67259866,Taipei Economic and Cultural Office in Thailand,ROC Representative to Thailand,2015,2017,,,Tung Chen-yuan,Tung Chen-yuan,7
67259866,Thailand,ROC Representative to Thailand,2015,2017,,,Tung Chen-yuan,Tung Chen-yuan,8
