who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
59947756,Director of the National Palace Museum,Director of the National Palace Museum,2019-02-15,,Q8347862,Chen Chi-nan Lee Ching-hui (acting),,,0
59947756,Director of the National Palace Museum,Director of the National Palace Museum,2019-02-15,,Lee Ching-hui,Chen Chi-nan Lee Ching-hui (acting),,,1
59947756,,Director of Academia Historica,2016-05-20,2019-02-13,,Lu Fang-shang,,Ho Chih-lin (acting) Chen Yi-shen,2
59947756,National Museum of Taiwan History,Director of the National Museum of Taiwan History,2007-03,2008-08-01,,,,Lu Li-cheng,3
59947756,Council for Cultural Affairs,Vice Chairman of the Council for Cultural Affairs,2001-02-05,2004-05-20,Q6704543,Luo Wen-jia,Wu Chin-fa,Wu Chin-fa,4
