who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
39268593,,,,,,,,,0
39268593,Environmental Protection Administration,Minister of Environmental Protection Administration of the Republic of China,2019-01,,Q6515593,Lee Ying-yuan Tsai Hung-teh (acting),,,1
39268593,Environmental Protection Administration,Minister of Environmental Protection Administration of the Republic of China,2019-01,,Tsai Hung-teh,Lee Ying-yuan Tsai Hung-teh (acting),,,2
39268593,Republic of China,Minister of Environmental Protection Administration of the Republic of China,2019-01,,Q6515593,Lee Ying-yuan Tsai Hung-teh (acting),,,3
39268593,Republic of China,Minister of Environmental Protection Administration of the Republic of China,2019-01,,Tsai Hung-teh,Lee Ying-yuan Tsai Hung-teh (acting),,,4
39268593,Environmental Protection Administration,Deputy Minister of Environmental Protection Administration of the Republic of China,2006-01,2019-01,,,,,5
39268593,Republic of China,Deputy Minister of Environmental Protection Administration of the Republic of China,2006-01,2019-01,,,,,6
39268593,New Taipei,Deputy Magistrate of Taipei County,2005-03,2006-01,,,,,7
