who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
349072,,,,,,,,,0
349072,Q7241342,President of the Legislative Yuan,2020-02-01,,Su Chia-chyuan,Su Chia-chyuan,,,1
349072,Legislative Yuan,Member of the Legislative Yuan,2020-02-01,,,,,,2
349072,Chairperson of the Democratic Progressive Party,11th Chairperson of the Democratic Progressive Party,2006-01-15,2007-09-21,Q465284,Annette Lu (acting),Q5067753,Chai Trong-rong (acting),3
349072,Q702650,Premier of the Republic of China,2002-02-01,2005-02-01,Q716710,Chang Chun-hsiung,Q472310,Frank Hsieh,4
349072,Q13644819,Vice Premier of the Republic of China,2000-05-20,2000-07-27,Q556828,Liu Chao-shiuan,Q716710,Chang Chun-hsiung,5
349072,List of county magistrates of Yilan,Yilan County magistrate,1989-12-20,1997-12-20,Q256274,Chen Ding-nan,Liu Shou-ch'eng,Liu Shou-ch'eng,6
349072,Taiwan Provincial Assembly,Member of the Taiwan Provincial Assembly,1981-12-20,1989-12-20,,,,,7
