who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
48287259,,,,,,,,,0
48287259,Q6797771,Mayor of New Taipei,2018-12-25,,Q5386280,Eric Chu,,,1
48287259,,,2015-10-20,18 January 2016 (acting),Q5386280,Eric Chu,Q5386280,Eric Chu,2
48287259,New Taipei City,Deputy Mayor of New Taipei City,2016-01-18,2018-02-28,,Himself,,,3
48287259,,,2010-12-25,2015-10-19,Q19849473,Position established Lee Shu-chuan as Deputy Magistrate of Taipei County,,Himself,4
48287259,,,2010-12-25,2015-10-19,Taipei County,Position established Lee Shu-chuan as Deputy Magistrate of Taipei County,,Himself,5
48287259,Central Police University,President of Central Police University,2008-06-21,2010-12-24,Hsieh Ing-dan,Hsieh Ing-dan,Hsieh Hsiu-neng,Hsieh Hsiu-neng,6
48287259,National Police Agency (Taiwan),Director-General of the National Police Agency,2006-06,2008-06-20,,Hsieh Ing-dan,,Wang Cho-chiun,7
