who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
51070530,,,,,,,,,0
51070530,Ministry of Economic Affairs (Taiwan),Minister of Economic Affairs of the Republic of China,2020-06-19,,Q16150359,Shen Jong-chin,,,1
51070530,Republic of China,Minister of Economic Affairs of the Republic of China,2020-06-19,,Q16150359,Shen Jong-chin,,,2
51070530,Ministry of Economic Affairs (Taiwan),Deputy Minister of Economic Affairs,2019-06,2020-06-19,,,,,3
51070530,Ministry of Economic Affairs (Republic of China),Vice Minister of Economic Affairs of the Republic of China,2016-07,2019-06,,,,,4
51070530,Republic of China,Vice Minister of Economic Affairs of the Republic of China,2016-07,2019-06,,,,,5
