who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
333404,Q702650,Premier of the Republic of China,2019-01-14,,Q3847080,Lai Ching-te,,,0
333404,,,2006-01-25,2007-05-21,Q472310,Frank Hsieh,Q716710,Chang Chun-hsiung,1
333404,List of leaders of the Democratic Progressive Party,Chairman of the Democratic Progressive Party,2012-05-30,2014-05-28,Q233984,Tsai Ing-wen,Q233984,Tsai Ing-wen,2
333404,,,2005-02-15,2005-12-03,Q6393270,Ker Chien-ming (acting),Q465284,Annette Lu (acting),3
333404,Mayor of New Taipei,Magistrate of Taipei County,1997-12-20,2004-05-20,You Ching,You Ching,Q8349604,Lin Hsi-yao (acting) Chou Hsi-wei,4
333404,Mayor of New Taipei,Magistrate of Taipei County,1997-12-20,2004-05-20,You Ching,You Ching,Q5105427,Lin Hsi-yao (acting) Chou Hsi-wei,5
333404,List of county magistrates of Pingtung,Magistrate of Pingtung County,1989-12-20,1993-12-20,Shih Meng-hsiung,Shih Meng-hsiung,Q8272594,Wu Tse-yuan,6
