who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
59578078,,,,,,,,,0
59578078,Council of Agriculture,Minister of Council of Agriculture of the Republic of China,14 January 2019 4 December 2018 - 13 January 2019 (acting),,Q8349886,Lin Tsung-hsien,,,1
59578078,Republic of China,Minister of Council of Agriculture of the Republic of China,14 January 2019 4 December 2018 - 13 January 2019 (acting),,Q8349886,Lin Tsung-hsien,,,2
59578078,Council of Agriculture,Deputy Minister of Council of Agriculture of the Republic of China,2016-05-20,2018-12-03,,,,,3
59578078,Republic of China,Deputy Minister of Council of Agriculture of the Republic of China,2016-05-20,2018-12-03,,,,,4
