who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
16491946,,,,,,,,,0
16491946,List of leaders of the Democratic Progressive Party,Chairperson of Democratic Progressive Party (acting),2022-11-30,,Q233984,Tsai Ing-wen,,,1
16491946,Democratic Progressive Party,Chairperson of Democratic Progressive Party (acting),2022-11-30,,Q233984,Tsai Ing-wen,,,2
16491946,Q11812506,Mayor of Kaohsiung,2020-08-24,,Q8274095,Han Kuo-yu Yang Ming-jou (acting),,,3
16491946,,,2005-02-01,"September 26, 2005 Acting",Q472310,Frank Hsieh,Q6148708,Yeh Chu-lan (acting) Chen Chu,4
16491946,,,2005-02-01,"September 26, 2005 Acting",Q472310,Frank Hsieh,Kiku Chen,Yeh Chu-lan (acting) Chen Chu,5
16491946,List of vice premiers of the Republic of China,Vice Premier of the Republic of China,2019-01-14,2020-06-19,Q9184683,Shih Jun-ji,Q16150359,Shen Jong-chin,6
16491946,Legislative Yuan,Member of the Legislative Yuan,2012-02-01,2018-11-03,,,Q60992873,Chen Ching-min,7
16491946,,,1996-02-01,2004-05-19,,,,,8
16491946,Q10876443,Deputy Secretary-General of the Presidential Office,2007-02-09,"May 20, 2008 Serving with Lin Chia-lung",Liu Shih-fang,Liu Shih-fang,Q8278814,Yeh Ching-chuan,9
16491946,"Presidential Office Building, Taipei",Deputy Secretary-General of the Presidential Office,2007-02-09,"May 20, 2008 Serving with Lin Chia-lung",Liu Shih-fang,Liu Shih-fang,Q8278814,Yeh Ching-chuan,10
16491946,Executive Yuan,Spokesperson of the Executive Yuan,2004-05-20,2005-02-01,Q6550004,Lin Chia-lung,Q5116472,Cho Jung-tai,11
