who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
49592429,,,,,,,,,0
49592429,Mainland Affairs Council,Minister of the Mainland Affairs Council of the Republic of China,2021-02-23,,Q13408438,Chen Ming-tong,,,1
49592429,Republic of China,Minister of the Mainland Affairs Council of the Republic of China,2021-02-23,,Q13408438,Chen Ming-tong,,,2
49592429,Ministry of Justice (Taiwan),Minister of Justice of the Republic of China,2016-05-20,2018-07-15,Q14866531,Luo Ying-shay,Q55505798,Tsai Ching-hsiang,3
49592429,Republic of China,Minister of Justice of the Republic of China,2016-05-20,2018-07-15,Q14866531,Luo Ying-shay,Q55505798,Tsai Ching-hsiang,4
49592429,"Taoyuan, Taiwan",Deputy Mayor of Taoyuan City,2014-12-25,2016-03,,,,,5
49592429,Kaohsiung,Deputy Mayor of Kaohsiung,2006-12-25,2008,,,,,6
49592429,Mainland Affairs Council,Deputy Minister of Mainland Affairs Council of the Republic of China,2004-05,2005-03,,,Michael You,Michael You,7
49592429,Republic of China,Deputy Minister of Mainland Affairs Council of the Republic of China,2004-05,2005-03,,,Michael You,Michael You,8
49592429,Legislative Yuan,Member of the Legislative Yuan,1999-02-01,2004-05-19,,,,,9
