who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
54054189,,,,,,,,,0
54054189,Public Construction Commission,Minister of Public Construction Commission of the Republic of China,2017-11-23,,Q23883800,Wu Hong-mo,,,1
54054189,Republic of China,Minister of Public Construction Commission of the Republic of China,2017-11-23,,Q23883800,Wu Hong-mo,,,2
54054189,,,2006-01-15,2008-05-20,Kuo Yao-chi,Kuo Yao-chi,Q9182857,Fan Liang-shiow,3
54054189,Taiwan Provincial Government,Governor of Taiwan Province,2017-11-06,2018-06-30,Q24572278,Hsu Jan-yau,,Position abolished,4
54054189,Taiwan Province,Governor of Taiwan Province,2017-11-06,2018-06-30,Q24572278,Hsu Jan-yau,,Position abolished,5
54054189,List of county magistrates of Yilan,Magistrate of Yilan County Acting,2017-02-08,2017-11-06,Q8349886,Lin Tsung-hsien,Q8348181,Chen Chin-te (acting) Lin Zi-miao,6
54054189,List of county magistrates of Yilan,Magistrate of Yilan County Acting,2017-02-08,2017-11-06,Q8349886,Lin Tsung-hsien,Lin Zi-miao,Chen Chin-te (acting) Lin Zi-miao,7
54054189,"Yilan County, Taiwan",Magistrate of Yilan County Acting,2017-02-08,2017-11-06,Q8349886,Lin Tsung-hsien,Q8348181,Chen Chin-te (acting) Lin Zi-miao,8
54054189,"Yilan County, Taiwan",Magistrate of Yilan County Acting,2017-02-08,2017-11-06,Q8349886,Lin Tsung-hsien,Lin Zi-miao,Chen Chin-te (acting) Lin Zi-miao,9
54054189,List of county magistrates of Yilan,Deputy Magistrate of Yilan County,2009-12-20,2017-02-07,,,,,10
54054189,"Yilan County, Taiwan",Deputy Magistrate of Yilan County,2009-12-20,2017-02-07,,,,,11
