who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
20510402,Q16056439,Chairman of the Kuomintang,2021-10-05,,Q8279603,Johnny Chiang,,,0
20510402,,,2015-01-19,2016-01-16,Q57838,Wu Den-yih (Acting),Q5925638,Huang Min-hui (Acting) Hung Hsiu-chu,1
20510402,,,2015-01-19,2016-01-16,Q57838,Wu Den-yih (Acting),Q8274029,Huang Min-hui (Acting) Hung Hsiu-chu,2
20510402,,,,,,,,,3
20510402,Q6797771,Mayor of New Taipei,2016-01-18,2018-12-25,,,Hou You-yi,Hou You-yi,4
20510402,,,2010-12-25,2015-10-19,Q5105427,Chou Hsi-wei (Magistrate of Taipei),Hou You-yi,Hou You-yi (Acting),5
20510402,List of vice premiers of the Republic of China,Vice Premier of the Republic of China,2009-09-10,2010-05-17,Q8273178,Paul Chiu,Q281540,Sean Chen,6
20510402,Consumer Protection Committee,Minister of the Consumer Protection Commission,2009-09-10,2010-05-17,Q8273178,Paul Chiu,Q281540,Sean Chen,7
20510402,Q50306671,Magistrate of Taoyuan,2001-12-20,2009-09-10,Hsu Ying-shen,Hsu Ying-shen (Acting),Huang Min-kon,Huang Min-kon (Acting),8
20510402,Legislative Yuan,Member of the Legislative Yuan,1999-02-01,2001-12-20,,,,,9
20510402,,,,,,,,,10
